,treatment
6632,1
6633,0
6634,0
6635,1
6636,0
6637,1
6638,1
6639,1
6640,1
6641,1
6642,0
6643,1
6644,0
6645,0
6646,1
6647,1
6648,0
6649,1
6650,0
6651,1
6652,0
6653,0
6654,0
6655,1
6656,0
6657,1
6658,1
6659,1
6660,1
6661,0
6662,1
6663,1
6664,1
6665,1
6666,0
6667,1
6668,0
6669,1
6670,0
6671,0
6672,0
6673,0
6674,0
6675,1
6676,1
6677,0
6678,1
6679,1
6680,1
6681,1
6682,0
6683,0
6684,1
6685,1
6686,0
6687,0
6688,1
6689,1
6690,1
6691,1
6692,0
6693,0
6694,1
6695,0
6696,1
6697,0
6698,0
6699,1
6700,1
6701,0
6702,0
6703,1
6704,1
6705,0
6706,0
6707,1
6708,0
6709,1
6710,0
6711,0
6712,1
6713,0
6714,1
6715,1
6716,1
6717,0
6718,1
6719,1
6720,1
6721,1
6722,1
6723,1
6724,1
6725,0
6726,0
6727,0
6728,0
6729,0
6730,0
6731,1
6732,0
6733,0
6734,1
6735,1
6736,1
6737,1
6738,1
6739,1
6740,1
6741,0
6742,1
6743,0
6744,1
6745,1
6746,1
6747,0
6748,1
6749,1
6750,0
6751,1
6752,0
6753,0
6754,1
6755,1
6756,1
6757,1
6758,0
6759,1
6760,1
6761,0
6762,1
6763,1
6764,1
6765,1
6766,1
6767,1
6768,0
6769,0
6770,1
6771,0
6772,1
6773,0
6774,1
6775,1
6776,1
6777,0
6778,0
6779,0
6780,1
6781,1
6782,1
6783,1
6784,1
6785,1
6786,1
6787,0
6788,1
6789,1
6790,0
6791,0
6792,0
6793,0
6794,0
6795,1
6796,1
6797,1
6798,0
6799,0
6800,1
6801,1
6802,0
6803,1
6804,1
6805,0
6806,1
6807,1
6808,1
6809,1
6810,0
6811,1
6812,0
6813,1
6814,0
6815,0
6816,0
6817,1
6818,1
6819,0
6820,1
6821,0
6822,0
6823,1
6824,0
6825,1
6826,1
6827,0
6828,1
6829,0
6830,0
6831,0
6832,1
6833,1
6834,1
6835,1
6836,0
6837,1
6838,1
6839,1
6840,0
6841,1
6842,0
6843,1
6844,0
6845,0
6846,0
6847,0
6848,1
6849,0
6850,0
6851,1
6852,1
6853,1
6854,1
6855,1
6856,1
6857,1
6858,1
6859,1
6860,1
6861,0
6862,0
6863,0
6864,0
6865,0
6866,1
6867,1
6868,0
6869,1
6870,0
6871,0
6872,0
6873,0
6874,0
6875,0
6876,0
6877,0
6878,0
6879,1
6880,0
6881,1
6882,1
6883,1
6884,0
6885,0
6886,1
6887,1
6888,1
6889,0
6890,1
6891,0
6892,1
6893,1
6894,0
6895,1
6896,1
6897,1
6898,1
6899,1
6900,0
6901,1
6902,1
6903,1
6904,1
6905,1
6906,0
6907,0
6908,1
6909,1
6910,1
6911,0
6912,1
6913,1
6914,0
6915,0
6916,0
6917,0
6918,0
6919,0
6920,0
6921,0
6922,1
6923,1
6924,0
6925,1
6926,1
6927,0
6928,1
6929,1
6930,0
6931,1
6932,1
6933,0
6934,1
6935,1
6936,1
6937,1
6938,1
6939,1
6940,1
6941,0
6942,0
6943,0
6944,1
6945,1
6946,1
6947,1
6948,1
6949,1
6950,1
6951,1
6952,0
6953,1
6954,0
6955,0
6956,1
6957,1
6958,1
6959,1
6960,0
6961,1
6962,0
6963,0
6964,1
6965,1
6966,0
6967,1
6968,0
6969,1
6970,0
6971,1
6972,1
6973,1
6974,1
6975,1
6976,1
6977,0
6978,0
6979,1
6980,1
6981,1
6982,1
6983,0
6984,1
6985,1
6986,0
6987,1
6988,0
6989,1
6990,1
6991,1
6992,0
6993,1
6994,1
6995,1
6996,0
6997,1
6998,1
6999,1
7000,1
7001,1
7002,1
7003,1
7004,1
7005,1
7006,0
7007,0
7008,1
7009,1
7010,1
7011,1
7012,1
7013,1
7014,1
7015,1
7016,1
7017,0
7018,1
7019,0
7020,1
7021,1
7022,0
7023,1
7024,1
7025,1
7026,1
7027,1
7028,0
7029,1
7030,0
7031,1
7032,1
7033,1
7034,1
7035,1
7036,1
7037,0
7038,1
7039,1
7040,1
7041,1
7042,1
7043,1
7044,1
7045,0
7046,0
7047,1
7048,0
7049,1
7050,0
7051,0
7052,1
7053,1
7054,1
7055,0
7056,1
7057,0
7058,1
7059,1
7060,1
7061,1
7062,1
7063,0
7064,1
7065,0
7066,1
7067,0
7068,1
7069,1
7070,1
7071,1
7072,1
7073,1
7074,1
7075,1
7076,0
7077,1
7078,0
7079,1
7080,1
7081,1
7082,1
7083,1
7084,1
7085,1
7086,0
7087,1
7088,1
7089,0
7090,1
7091,1
7092,1
7093,1
7094,1
7095,1
7096,1
7097,1
7098,1
7099,1
7100,1
7101,1
7102,1
7103,0
7104,0
7105,0
7106,1
7107,1
7108,1
7109,0
7110,1
7111,1
7112,0
7113,0
7114,1
7115,1
7116,0
7117,1
7118,1
7119,0
7120,1
7121,1
7122,1
7123,1
7124,0
7125,1
7126,0
7127,1
7128,1
7129,1
7130,1
7131,0
7132,0
7133,1
7134,1
7135,1
7136,0
7137,1
7138,0
7139,0
7140,1
7141,1
7142,0
7143,1
7144,1
7145,1
7146,1
7147,1
7148,0
7149,1
7150,0
7151,0
7152,1
7153,1
7154,0
7155,1
7156,1
7157,1
7158,1
7159,0
7160,1
7161,0
7162,0
7163,1
7164,1
7165,1
7166,1
7167,0
7168,0
7169,0
7170,0
7171,0
7172,1
7173,1
7174,1
7175,1
7176,1
7177,1
7178,1
7179,1
7180,1
7181,1
7182,0
7183,0
7184,1
7185,1
7186,1
7187,1
7188,0
7189,1
7190,1
7191,1
7192,1
7193,1
7194,1
7195,0
7196,1
7197,1
7198,1
7199,1
7200,0
7201,1
7202,0
7203,1
7204,1
7205,1
7206,1
7207,1
7208,0
7209,0
7210,0
7211,0
7212,0
7213,1
7214,0
7215,1
7216,1
7217,0
7218,0
7219,1
7220,1
7221,1
7222,0
7223,0
7224,1
7225,0
7226,1
7227,1
7228,0
7229,1
7230,0
7231,1
7232,1
7233,1
7234,1
7235,0
7236,1
7237,1
7238,1
7239,0
7240,1
7241,1
7242,1
7243,0
7244,0
7245,0
7246,1
7247,0
7248,0
7249,1
7250,1
7251,0
7252,1
7253,0
7254,1
7255,0
7256,1
7257,1
7258,1
7259,0
7260,0
7261,1
7262,1
7263,1
7264,1
7265,1
7266,1
7267,1
7268,0
7269,1
7270,1
7271,1
7272,0
7273,1
7274,1
7275,1
7276,1
7277,1
7278,1
7279,1
7280,0
7281,1
7282,1
7283,1
7284,0
7285,1
7286,1
7287,0
7288,0
7289,0
7290,1
7291,1
7292,1
7293,1
7294,0
7295,1
7296,1
7297,0
7298,0
7299,1
7300,0
7301,1
7302,0
7303,0
7304,1
7305,0
7306,0
7307,1
7308,1
7309,1
7310,0
7311,1
7312,1
7313,1
7314,0
7315,0
7316,1
7317,1
7318,1
7319,1
7320,0
7321,0
7322,0
7323,1
7324,1
7325,0
7326,1
7327,0
7328,1
7329,0
7330,0
7331,1
7332,1
7333,1
7334,1
7335,1
7336,0
7337,0
7338,1
7339,0
7340,0
7341,0
7342,1
7343,0
7344,1
7345,0
7346,1
7347,1
7348,0
7349,0
7350,0
7351,0
7352,1
7353,1
7354,0
7355,0
7356,0
7357,0
7358,0
7359,0
7360,1
7361,1
7362,1
7363,0
7364,0
7365,1
7366,1
7367,1
7368,0
7369,1
7370,0
7371,1
7372,1
7373,1
7374,0
7375,0
7376,0
7377,0
7378,1
7379,1
7380,1
7381,0
7382,0
7383,1
7384,1
7385,1
7386,0
7387,1
7388,1
7389,1
7390,1
7391,1
7392,1
7393,1
7394,1
7395,1
7396,0
7397,1
7398,0
7399,1
7400,1
7401,1
7402,1
7403,1
7404,1
7405,1
7406,0
7407,1
7408,1
7409,0
7410,1
7411,0
7412,1
7413,1
7414,0
7415,1
7416,0
7417,1
7418,1
7419,1
7420,0
7421,0
7422,1
7423,0
7424,1
7425,0
7426,1
7427,1
7428,1
7429,1
7430,1
7431,0
7432,1
7433,1
7434,1
7435,1
7436,1
7437,1
7438,1
7439,0
7440,1
7441,1
7442,1
7443,0
7444,1
7445,1
7446,0
7447,1
7448,1
7449,1
7450,1
7451,0
7452,1
7453,1
7454,1
7455,1
7456,0
7457,1
7458,1
7459,1
7460,0
7461,0
7462,0
7463,0
7464,1
7465,1
7466,1
7467,1
7468,0
7469,0
7470,0
7471,1
7472,1
7473,1
7474,0
7475,1
7476,1
7477,1
7478,1
7479,0
7480,1
7481,1
7482,0
7483,0
7484,1
7485,1
7486,1
7487,1
7488,0
7489,0
7490,1
7491,0
7492,1
7493,0
7494,1
7495,1
7496,1
7497,1
7498,1
7499,1
7500,1
7501,1
7502,1
7503,1
7504,1
7505,1
7506,1
7507,1
7508,0
7509,0
7510,1
7511,0
7512,1
7513,1
7514,1
7515,1
7516,0
7517,1
7518,1
7519,1
7520,1
7521,1
7522,1
7523,1
7524,1
7525,1
7526,0
7527,1
7528,1
7529,1
7530,0
7531,1
7532,1
7533,1
7534,1
7535,0
7536,0
7537,0
7538,1
7539,1
7540,0
7541,1
7542,0
7543,0
7544,1
7545,0
7546,0
7547,1
7548,1
7549,1
7550,1
7551,1
7552,1
7553,1
7554,0
7555,0
7556,1
7557,1
7558,0
7559,0
7560,1
7561,1
7562,1
7563,0
7564,1
7565,1
7566,1
7567,0
7568,0
7569,0
7570,1
7571,1
7572,0
7573,0
7574,1
7575,1
7576,0
7577,1
7578,0
7579,0
7580,1
7581,0
7582,0
7583,0
7584,1
7585,1
7586,1
7587,1
7588,1
7589,1
7590,1
7591,1
7592,1
7593,1
7594,0
7595,1
7596,0
7597,1
7598,1
7599,1
7600,0
7601,1
7602,1
7603,1
7604,1
7605,1
7606,1
7607,0
7608,1
7609,1
7610,0
7611,1
7612,1
7613,1
7614,0
7615,0
7616,0
7617,0
7618,0
7619,1
7620,1
7621,1
7622,0
7623,1
7624,0
7625,0
7626,1
7627,0
7628,0
7629,1
7630,0
7631,0
7632,0
7633,1
7634,1
7635,0
7636,1
7637,0
7638,1
7639,1
7640,1
7641,1
7642,0
7643,1
7644,1
7645,1
7646,0
7647,1
7648,1
7649,1
7650,1
7651,0
7652,1
7653,1
7654,1
7655,1
7656,0
7657,0
7658,0
7659,1
7660,1
7661,0
7662,1
7663,1
7664,1
7665,0
7666,1
7667,0
7668,0
7669,1
7670,1
7671,1
7672,1
7673,0
7674,1
7675,1
7676,1
7677,1
7678,1
7679,1
7680,1
7681,1
7682,0
7683,1
7684,1
7685,1
7686,1
7687,0
7688,0
7689,1
7690,1
7691,1
7692,0
7693,0
7694,1
7695,0
7696,1
7697,1
7698,1
7699,0
7700,0
7701,1
7702,0
7703,1
7704,1
7705,0
7706,0
7707,1
7708,1
7709,0
7710,1
7711,1
7712,0
7713,1
7714,1
7715,1
7716,0
7717,1
7718,1
7719,1
7720,0
7721,1
7722,0
7723,0
7724,1
7725,0
7726,0
7727,0
7728,1
7729,1
7730,1
7731,1
7732,0
7733,1
7734,1
7735,1
7736,0
7737,0
7738,0
7739,1
7740,1
7741,1
7742,1
7743,0
7744,1
7745,0
7746,1
7747,1
7748,1
7749,1
7750,1
7751,0
7752,1
7753,0
7754,1
7755,0
7756,1
7757,1
7758,1
7759,1
7760,1
7761,1
7762,0
7763,1
7764,0
7765,0
7766,1
7767,1
7768,1
7769,1
7770,1
7771,1
7772,1
7773,0
7774,0
7775,0
7776,1
7777,1
7778,0
7779,1
7780,0
7781,1
7782,1
7783,0
7784,0
7785,1
7786,0
7787,1
7788,0
7789,1
7790,1
7791,0
7792,0
7793,0
7794,0
7795,1
7796,1
7797,1
7798,0
7799,1
7800,1
7801,0
7802,0
7803,1
7804,1
7805,0
7806,0
7807,1
7808,1
7809,1
7810,1
7811,1
7812,1
7813,1
7814,1
7815,1
7816,1
7817,1
7818,0
7819,1
7820,1
7821,1
7822,1
7823,1
7824,0
7825,1
7826,1
7827,1
7828,1
7829,1
7830,1
7831,1
7832,1
7833,1
7834,1
7835,0
7836,0
7837,1
7838,1
7839,1
7840,0
7841,0
7842,1
7843,0
7844,0
7845,0
7846,1
7847,1
7848,0
7849,0
7850,1
7851,1
7852,0
7853,1
7854,0
7855,1
7856,1
7857,1
7858,1
7859,1
7860,1
7861,0
7862,0
7863,1
7864,1
7865,1
7866,0
7867,1
7868,0
7869,0
7870,1
7871,0
7872,0
7873,1
7874,1
7875,0
7876,0
7877,0
7878,0
7879,0
7880,1
7881,1
7882,0
7883,1
7884,1
7885,0
7886,1
7887,0
7888,1
7889,0
7890,0
7891,0
7892,1
7893,0
7894,0
7895,1
7896,0
7897,1
7898,1
7899,1
7900,0
7901,0
7902,0
7903,0
7904,0
7905,1
7906,1
7907,1
7908,0
7909,1
7910,0
7911,1
7912,1
7913,0
7914,1
7915,1
7916,1
7917,1
7918,1
7919,1
7920,0
7921,1
7922,1
7923,1
7924,1
7925,1
7926,1
7927,0
7928,1
7929,0
7930,1
7931,0
7932,1
7933,1
7934,1
7935,1
7936,1
7937,0
7938,0
7939,0
7940,0
7941,1
7942,1
7943,1
7944,1
7945,1
7946,1
7947,0
7948,1
7949,1
7950,1
7951,0
7952,1
7953,0
7954,0
7955,1
7956,0
7957,1
7958,1
7959,1
7960,0
7961,0
7962,1
7963,0
7964,1
7965,0
7966,1
7967,0
7968,1
7969,0
7970,1
7971,0
7972,0
7973,1
7974,0
7975,1
7976,1
7977,1
7978,1
7979,1
7980,1
7981,1
7982,1
7983,1
7984,1
7985,1
7986,0
7987,1
7988,0
7989,1
7990,0
7991,1
7992,0
7993,1
7994,1
7995,1
7996,1
7997,0
7998,1
7999,0
8000,0
8001,0
8002,0
8003,0
8004,1
8005,0
8006,1
8007,1
8008,0
8009,0
8010,0
8011,0
8012,1
8013,0
8014,1
8015,0
8016,0
8017,1
8018,0
8019,1
8020,1
8021,1
8022,1
8023,1
8024,0
8025,1
8026,0
8027,0
8028,1
8029,1
8030,1
8031,1
8032,1
8033,1
8034,1
8035,0
8036,1
8037,1
8038,0
8039,0
8040,0
8041,0
8042,1
8043,1
8044,0
8045,0
8046,1
8047,0
8048,1
8049,0
8050,0
8051,1
8052,1
8053,1
8054,1
8055,1
8056,0
8057,1
8058,0
8059,1
8060,1
8061,1
8062,0
8063,1
8064,1
8065,0
8066,1
8067,0
8068,0
8069,1
8070,1
8071,1
8072,1
8073,1
8074,0
8075,0
8076,1
8077,0
8078,0
8079,0
8080,0
8081,1
8082,0
8083,1
8084,1
8085,1
8086,1
8087,1
8088,1
8089,1
8090,0
8091,0
8092,0
8093,1
8094,1
8095,0
8096,1
8097,1
8098,1
8099,1
8100,0
8101,1
8102,0
8103,0
8104,0
8105,0
8106,0
8107,1
8108,0
8109,0
8110,0
8111,0
8112,1
8113,0
8114,1
8115,1
8116,1
8117,1
8118,1
8119,0
8120,1
8121,1
8122,1
8123,0
8124,0
8125,0
8126,0
8127,1
8128,0
8129,1
8130,1
8131,0
8132,0
8133,0
8134,1
8135,0
8136,0
8137,0
8138,0
8139,1
8140,1
8141,0
8142,0
8143,1
8144,1
8145,1
8146,1
8147,0
8148,0
8149,0
8150,0
8151,1
8152,1
8153,1
8154,0
8155,1
8156,0
8157,0
8158,0
8159,1
8160,1
8161,1
8162,1
8163,0
8164,1
8165,0
8166,1
8167,1
8168,0
8169,0
8170,1
8171,0
8172,1
8173,1
8174,0
8175,0
8176,1
8177,0
8178,1
8179,1
8180,1
8181,1
8182,1
8183,0
8184,0
8185,1
8186,0
8187,1
8188,1
8189,0
8190,1
8191,1
8192,1
8193,1
8194,1
8195,1
8196,1
8197,1
8198,1
8199,1
8200,1
8201,1
8202,1
8203,0
8204,1
8205,1
8206,1
8207,1
8208,1
8209,1
8210,1
8211,1
8212,0
8213,1
8214,0
8215,0
8216,0
8217,1
8218,0
8219,0
8220,1
8221,1
8222,1
8223,1
8224,0
8225,1
8226,1
8227,1
8228,1
8229,1
8230,0
8231,0
8232,1
8233,0
8234,0
8235,1
8236,1
8237,0
8238,0
8239,0
8240,1
8241,0
8242,0
8243,1
8244,0
8245,0
8246,0
8247,1
8248,1
8249,1
8250,0
8251,1
8252,1
8253,0
8254,1
8255,1
8256,1
8257,1
8258,1
8259,1
8260,0
8261,1
8262,1
8263,1
8264,1
8265,0
8266,0
8267,0
8268,1
8269,1
8270,1
8271,1
8272,1
8273,0
8274,0
8275,1
8276,1
8277,1
8278,1
8279,1
8280,1
8281,1
8282,1
8283,0
8284,0
8285,1
8286,1
8287,0
8288,1
8289,0
8290,1
8291,0
8292,0
8293,1
8294,0
8295,1
8296,1
8297,0
8298,0
8299,1
8300,1
8301,0
8302,0
8303,1
8304,0
8305,1
8306,0
8307,0
8308,1
8309,1
8310,0
8311,0
8312,0
8313,1
8314,1
8315,1
8316,1
8317,0
8318,1
8319,1
8320,1
8321,1
8322,1
8323,1
8324,1
8325,1
8326,0
8327,1
8328,0
8329,1
8330,1
8331,0
8332,0
8333,0
8334,0
8335,1
8336,1
8337,1
8338,1
8339,1
8340,0
8341,0
8342,0
8343,0
8344,1
8345,1
8346,0
8347,0
8348,1
8349,0
8350,0
8351,1
8352,1
8353,1
8354,0
8355,1
8356,1
8357,0
8358,0
8359,1
8360,1
8361,1
8362,0
8363,0
8364,1
8365,1
8366,0
8367,0
8368,0
8369,1
8370,0
8371,1
8372,0
8373,0
8374,1
8375,1
8376,1
8377,0
8378,0
8379,1
8380,1
8381,1
8382,0
8383,1
8384,0
8385,1
8386,0
8387,1
8388,1
8389,0
8390,1
8391,1
8392,1
8393,1
8394,0
8395,0
8396,0
8397,0
8398,1
8399,1
8400,1
8401,1
8402,1
8403,1
8404,1
8405,1
8406,1
8407,1
8408,1
8409,0
8410,1
8411,1
8412,0
8413,1
8414,0
8415,1
8416,1
8417,0
8418,0
8419,0
8420,0
8421,1
8422,1
8423,1
8424,1
8425,1
8426,0
8427,1
8428,1
8429,0
8430,1
8431,0
8432,0
8433,0
8434,1
8435,1
8436,1
8437,1
8438,1
8439,1
8440,1
8441,1
8442,1
8443,1
8444,1
8445,1
8446,1
8447,1
8448,1
8449,1
8450,1
8451,1
8452,1
8453,1
8454,1
8455,1
8456,1
8457,0
8458,1
8459,0
8460,1
8461,1
8462,1
8463,1
8464,1
8465,0
8466,1
8467,0
8468,0
8469,1
8470,1
8471,1
8472,0
8473,1
8474,1
8475,0
8476,0
8477,1
8478,1
8479,1
8480,0
8481,0
8482,0
8483,0
8484,1
8485,1
8486,1
8487,1
8488,1
8489,0
8490,0
8491,0
8492,1
8493,1
8494,1
8495,1
8496,0
8497,0
8498,1
8499,0
8500,0
8501,1
8502,1
8503,0
8504,1
8505,1
8506,1
8507,0
8508,1
8509,0
8510,0
8511,1
8512,1
8513,0
8514,1
8515,1
8516,0
8517,0
8518,1
8519,0
8520,0
8521,0
8522,1
8523,0
8524,1
8525,0
8526,0
8527,1
8528,1
8529,0
8530,1
8531,1
8532,1
8533,0
8534,1
8535,0
8536,1
8537,1
8538,0
8539,1
8540,1
8541,1
8542,0
8543,1
8544,1
8545,0
8546,1
8547,0
8548,1
8549,1
8550,1
8551,0
8552,0
8553,0
8554,1
8555,1
8556,0
8557,1
8558,1
8559,1
8560,0
8561,0
8562,1
8563,1
8564,1
8565,1
8566,0
8567,0
8568,1
8569,0
8570,1
8571,1
8572,1
8573,0
8574,1
8575,0
8576,1
8577,0
8578,1
8579,0
8580,0
8581,0
8582,1
8583,1
8584,1
8585,1
8586,1
8587,1
8588,1
8589,1
8590,0
8591,0
8592,1
8593,0
8594,0
8595,1
8596,1
8597,1
8598,0
8599,1
8600,0
8601,0
8602,0
8603,0
8604,1
8605,1
8606,1
8607,1
8608,1
8609,1
8610,1
8611,1
8612,0
8613,0
8614,0
8615,1
8616,1
8617,1
8618,1
8619,1
8620,0
8621,1
8622,0
8623,1
8624,1
8625,1
8626,1
8627,1
8628,1
8629,1
8630,1
8631,1
8632,1
8633,0
8634,1
8635,0
8636,0
8637,0
8638,1
8639,0
8640,1
8641,1
8642,0
8643,0
8644,0
8645,1
8646,1
8647,0
8648,1
8649,1
8650,0
8651,0
8652,0
8653,0
8654,0
8655,0
8656,0
8657,0
8658,0
8659,0
8660,1
8661,1
8662,1
8663,1
8664,1
8665,0
8666,1
8667,1
8668,1
8669,1
8670,0
8671,0
8672,0
8673,1
8674,1
8675,0
8676,1
8677,0
8678,1
8679,0
8680,1
8681,1
8682,0
8683,1
8684,1
8685,0
8686,1
8687,1
8688,0
8689,1
8690,1
8691,1
8692,0
8693,0
8694,1
8695,0
8696,1
8697,1
8698,1
8699,1
8700,0
8701,1
8702,1
8703,0
8704,1
8705,1
8706,0
8707,0
8708,1
8709,1
8710,0
8711,1
8712,1
8713,1
8714,1
8715,0
8716,1
8717,1
8718,1
8719,1
8720,1
8721,1
8722,1
8723,1
8724,0
8725,1
8726,0
8727,1
8728,1
8729,1
8730,0
8731,0
8732,1
8733,1
8734,1
8735,1
8736,1
8737,0
8738,1
8739,0
8740,1
8741,1
8742,0
8743,1
8744,0
8745,0
8746,1
8747,1
8748,0
8749,0
8750,0
8751,0
8752,1
8753,1
8754,1
8755,1
8756,0
8757,0
8758,0
8759,0
8760,0
8761,0
8762,1
8763,1
8764,1
8765,0
8766,0
8767,0
8768,1
8769,1
8770,0
8771,0
8772,1
8773,0
8774,0
8775,1
8776,0
8777,1
8778,1
8779,1
8780,1
8781,1
8782,1
8783,0
8784,1
8785,1
8786,0
8787,1
8788,0
8789,1
8790,0
8791,1
8792,1
8793,0
8794,0
8795,1
8796,1
8797,0
8798,1
8799,1
8800,0
8801,1
8802,1
8803,1
8804,1
8805,0
8806,0
8807,1
8808,1
8809,1
8810,0
8811,1
8812,1
8813,0
8814,1
8815,0
8816,0
8817,1
8818,1
8819,1
8820,1
8821,0
8822,1
8823,0
8824,0
8825,1
8826,1
8827,1
8828,0
8829,0
8830,0
8831,1
8832,1
8833,0
8834,1
8835,0
8836,0
8837,1
8838,0
8839,1
8840,1
8841,1
8842,0
8843,1
8844,0
8845,1
8846,1
8847,0
8848,1
8849,1
8850,1
8851,1
8852,0
8853,0
8854,0
8855,1
8856,1
8857,0
8858,0
8859,0
8860,1
8861,0
8862,0
8863,0
8864,1
8865,1
8866,1
8867,1
8868,0
8869,0
8870,0
8871,0
8872,1
8873,1
8874,1
8875,0
8876,1
8877,1
8878,1
8879,0
8880,0
8881,1
8882,1
8883,1
8884,1
8885,1
8886,1
8887,0
8888,0
8889,1
8890,1
8891,1
8892,1
8893,0
8894,0
8895,1
8896,1
8897,1
8898,0
8899,0
8900,0
8901,1
8902,1
8903,1
8904,1
8905,0
8906,1
8907,1
8908,1
8909,0
8910,1
8911,1
8912,0
8913,1
8914,0
8915,1
8916,1
8917,0
8918,0
8919,1
8920,0
8921,1
8922,1
8923,0
8924,1
8925,1
8926,0
8927,1
8928,1
8929,0
8930,1
8931,0
8932,1
8933,1
8934,0
8935,0
8936,0
8937,0
8938,0
8939,1
8940,1
8941,1
8942,1
8943,1
8944,1
8945,1
8946,1
8947,0
8948,0
8949,0
8950,0
8951,1
8952,1
8953,1
8954,0
8955,0
8956,1
8957,1
8958,0
8959,1
8960,0
8961,0
8962,0
8963,0
8964,1
8965,1
8966,1
8967,1
8968,1
8969,1
8970,1
8971,1
8972,1
8973,1
8974,1
8975,0
8976,1
8977,1
8978,1
8979,1
8980,0
8981,0
8982,0
8983,1
8984,0
8985,1
8986,0
8987,1
8988,0
8989,0
8990,1
8991,1
8992,0
8993,1
8994,1
8995,1
8996,1
8997,0
8998,0
8999,1
9000,1
9001,1
9002,0
9003,1
9004,1
9005,0
9006,1
9007,1
9008,0
9009,0
9010,1
9011,1
9012,1
9013,1
9014,1
9015,1
9016,1
9017,0
9018,1
9019,1
9020,0
9021,1
9022,1
9023,0
9024,1
9025,0
9026,1
9027,0
9028,1
9029,0
9030,0
9031,1
9032,1
9033,1
9034,0
9035,0
9036,0
9037,1
9038,0
9039,0
9040,1
9041,1
9042,0
9043,1
9044,1
9045,1
9046,0
9047,0
9048,1
9049,1
9050,0
9051,0
9052,1
9053,0
9054,1
9055,1
9056,0
9057,1
9058,0
9059,1
9060,1
9061,1
9062,1
9063,1
9064,0
9065,1
9066,0
9067,1
9068,1
9069,0
9070,1
9071,1
9072,1
9073,0
9074,0
9075,1
9076,1
9077,1
9078,1
9079,0
9080,0
9081,0
9082,1
9083,1
9084,0
9085,1
9086,1
9087,0
9088,0
9089,0
9090,1
9091,1
9092,1
9093,1
9094,1
9095,0
9096,1
9097,1
9098,0
9099,0
9100,0
9101,1
9102,0
9103,0
9104,0
9105,1
9106,0
9107,1
9108,1
9109,1
9110,1
9111,1
9112,1
9113,1
9114,0
9115,0
9116,0
9117,1
9118,0
9119,1
9120,1
9121,1
9122,0
9123,0
9124,1
9125,1
9126,1
9127,0
9128,0
9129,0
9130,0
9131,0
9132,1
9133,0
9134,1
9135,0
9136,0
9137,1
9138,0
9139,1
9140,1
9141,0
9142,1
9143,1
9144,1
9145,1
9146,0
9147,1
9148,1
9149,1
9150,1
9151,1
9152,0
9153,1
9154,1
9155,0
9156,0
9157,0
9158,1
9159,0
9160,1
9161,1
9162,0
9163,1
9164,0
9165,1
9166,0
9167,1
9168,1
9169,0
9170,0
9171,0
9172,1
9173,1
9174,1
9175,1
9176,1
9177,0
9178,0
9179,1
9180,1
9181,1
9182,0
9183,1
9184,0
9185,1
9186,1
9187,0
9188,1
9189,0
9190,1
9191,1
9192,0
9193,0
9194,0
9195,1
9196,0
9197,1
9198,1
9199,0
9200,1
9201,1
9202,1
9203,1
9204,0
9205,1
9206,1
9207,1
9208,1
9209,1
9210,1
9211,1
9212,1
9213,1
9214,1
9215,1
9216,0
9217,0
9218,1
9219,0
9220,0
9221,1
9222,1
9223,0
9224,1
9225,1
9226,1
9227,1
9228,1
9229,0
9230,0
9231,1
9232,0
9233,1
9234,1
9235,1
9236,0
9237,1
9238,1
9239,1
9240,0
9241,1
9242,0
9243,0
9244,0
9245,0
9246,0
9247,1
9248,1
9249,0
9250,0
9251,1
9252,1
9253,0
9254,0
9255,0
9256,1
9257,0
9258,1
9259,1
9260,1
9261,0
9262,1
9263,0
9264,1
9265,1
9266,1
9267,0
9268,1
9269,0
9270,0
9271,1
9272,0
9273,1
9274,1
9275,1
9276,1
9277,0
9278,1
9279,1
9280,0
9281,1
9282,1
9283,0
9284,1
9285,0
9286,0
9287,0
9288,0
9289,0
9290,0
9291,0
9292,1
9293,1
9294,0
9295,1
9296,0
9297,1
9298,1
9299,1
9300,1
9301,0
9302,1
9303,0
9304,0
9305,1
9306,0
9307,0
9308,0
9309,0
9310,1
9311,1
9312,1
9313,1
9314,0
9315,1
9316,1
9317,0
9318,1
9319,1
9320,1
9321,0
9322,0
9323,1
9324,0
9325,0
9326,1
9327,0
9328,1
9329,1
9330,0
9331,0
9332,0
9333,1
9334,1
9335,1
9336,0
9337,1
9338,1
9339,0
9340,1
9341,1
9342,1
9343,0
9344,1
9345,1
9346,1
9347,1
9348,0
9349,0
9350,1
9351,1
9352,0
9353,0
9354,1
9355,1
9356,1
9357,1
9358,0
9359,1
9360,1
9361,1
9362,1
9363,1
9364,0
9365,0
9366,1
9367,0
9368,1
9369,1
9370,0
9371,1
9372,1
9373,1
9374,0
9375,1
9376,0
9377,1
9378,0
9379,0
9380,1
9381,0
9382,1
9383,1
9384,1
9385,1
9386,0
9387,1
9388,1
9389,0
9390,1
9391,1
9392,1
9393,1
9394,0
9395,1
9396,1
9397,1
9398,1
9399,1
9400,0
9401,1
9402,1
9403,0
9404,1
9405,1
9406,1
9407,0
9408,0
9409,1
9410,0
9411,1
9412,0
9413,1
9414,0
9415,1
9416,1
9417,0
9418,1
9419,1
9420,1
9421,1
9422,1
9423,0
9424,1
9425,1
9426,0
9427,1
9428,1
9429,1
9430,1
